title,publisher,rating_from_5,rating_count,finalPrice,originalPrice,discountInfo,offer,discountDescriptor,release,genre,product_tag,noticesListItem3,discribtionTag,ratingProgresBar,subtitles,voices
PGA TOUR 2K25,2K,3.22,2103 ratings,$69.99,,,Demo,,2/28/2025,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Alcohol Reference, Mild LanguageIn-Game Purchases, Users Interact']","['42%', '11%', '9%', '5%', '33%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish']",[]
Marvel’s Spider-Man 2,Sony Interactive Entertainment,4.8,177745 ratings,$39.89,$69.99,Save 43%,Save 43%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,10/20/2023,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood, Drug Reference, Mild Language, ViolenceIn-Game Purchases']","['89%', '6%', '2%', '1%', '2%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
Red Dead Redemption 2,Rockstar Games,4.74,340702 ratings,$14.99,$59.99,Save 75%,Save 75%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,10/26/2018,,"['PS4', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 32 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 32 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All']","['Blood and Gore, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs and AlcoholIn-Game Purchases, Users Interact']","['89%', '4%', '2%', '1%', '4%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
HELLDIVERS™ 2,Sony Interactive Entertainment,4.46,116242 ratings,$31.99,$39.99,Save 20%,Save 20%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,2/8/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 4 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 4 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense ViolenceIn-Game Purchases, Users Interact']","['78%', '8%', '3%', '2%', '9%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
ELDEN RING PS4 & PS5,Bandai Namco Entertainment America Inc.,4.7,139318 ratings,$35.99,$59.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,2/25/2022,,"['PS4', 'PS5', 'Standard Edition', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'Supports up to 6 online players with PS Plus', '1 player', 'PS Plus required for online play', 'Supports up to 6 online players with PS Plus', '1 player']","['Blood and Gore, Language, Suggestive Themes, ViolenceIn-Game Purchases']","['89%', '3%', '1%', '1%', '5%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
Destiny 2 PS4™ & PS5™,Bungie,4.26,307825 ratings,Free,,,,,12/8/2020,,"['PS4', 'PS5']","['In-game purchases optional', 'Online play required', '16 online players', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '16 online players', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Blood, Game Experience May Change During Online Play, Language, Violence']","['70%', '11%', '7%', '2%', '11%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
The Elder Scrolls Online,Bethesda Softworks,4.34,75333 ratings,$4.99,$19.99,Save 75%,Save 75%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,6/15/2021,,"['PS4', 'PS5', 'Base Game Edition', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'PS5 VersionVibration function and trigger effect required', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'PS5 VersionVibration function and trigger effect required', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Sexual Themes, Use of Alcohol, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['70%', '14%', '6%', '2%', '9%']","['Chinese (Simplified), English, French (France), German, Japanese, Russian, Spanish']",[]
Forza Horizon 5 Standard Edition,Microsoft Corporation,,,$59.99,,,,,4/29/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['In-Game Purchases, Users Interact']",[],[],[]
The Sims™ 4,Electronic Arts Inc,3.89,112441 ratings,Free,,,,,11/17/2017,,"['PS4', 'The Sims™ 4']","['In-game purchases optional', 'Remote Play supported', 'In-game purchases optional', 'Remote Play supported']","['Crude Humor, Game Experience May Change During Online Play, Sexual Themes, Violence']","['57%', '13%', '10%', '3%', '17%']","['Chinese (Traditional), English, French (France), Portuguese (Brazil), Spanish']",[]
Rocket League®,Psyonix Inc,4.33,1282794 ratings,Free,,,,,7/7/2015,,['PS4'],"['In-game purchases optional', 'Online play optional', '1 - 4 players', '8 online players', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration', 'In-game purchases optional', 'Online play optional', '1 - 4 players', '8 online players', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration']","['Game Experience May Change During Online Play, Mild Lyrics']","['70%', '12%', '9%', '1%', '9%']","['Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Spanish, Turkish']",[]
HITMAN World of Assassination,IO Interactive A/S,4.38,41395 ratings,$27.99,$69.99,Save 60%,Save 60%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,1/26/2023,,"['PS4', 'PS5', 'World of Assassination', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['In-game purchases optional', 'Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optional', 'PS VR2 Sense controllers optionalView All PS5 & PS4 Compatibility Notices', 'In-game purchases optional', 'Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optional', 'PS VR2 Sense controllers optionalView All PS5 & PS4 Compatibility Notices']","['Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs and AlcoholIn-Game Purchases']","['72%', '11%', '8%', '1%', '8%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Russian, Spanish', 'Chinese (Traditional), English, French (France), German, Italian, Russian, Spanish']","['English', 'English']"
TEKKEN 8,Bandai Namco Entertainment America Inc.,4.47,16488 ratings,$59.99,,,Demo,,1/25/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 16 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 16 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)']","['Language, Suggestive Themes, ViolenceIn-Game Purchases, Users Interact']","['79%', '7%', '5%', '1%', '8%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
Baldur's Gate 3,Larian Studios Games Ltd,4.81,79285 ratings,$55.99,$69.99,Save 20%,Save 20%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/6/2023,,"['PS5', 'Base Game', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 2 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 2 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual ContentUsers Interact']","['92%', '3%', '1%', '1%', '3%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish, Ukrainian']",[]
Indiana Jones and the Great Circle,Bethesda Softworks,,,$69.99,,,,,4/17/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Drug Reference, Mild Language, Violence']",[],[],[]
Kingdom Come: Deliverance II Gold Edition,Deep Silver,4.62,16687 ratings,$80.99,$89.99,Save 10%,Save 10%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,2/4/2025,,"['PS5', 'Gold Edition', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Offline play enabled', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Offline play enabled', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Alcohol']","['87%', '3%', '1%', '1%', '7%']","['Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Turkish, Ukrainian']",[]
The Crew Motorfest Cross-Gen Bundle,Ubisoft Entertainment,4.16,64908 ratings,Free,,Trial,Trial,,9/14/2023,,"['PS4', 'PS5', 'Cross-Gen Bundle', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 32 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 32 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Lyrics, Mild ViolenceIn-Game Purchases, Users Interact']","['66%', '11%', '8%', '2%', '12%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
Gran Turismo® 7,Sony Interactive Entertainment,4.37,36555 ratings,$69.99,,,,,3/4/2022,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 20 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optionalView All PS5 & PS4 Compatibility Notices', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 20 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optionalView All PS5 & PS4 Compatibility Notices']","['Alcohol Reference, Use of TobaccoIn-Game Purchases, Users Interact']","['72%', '12%', '5%', '2%', '9%']","['English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)']",[]
Overwatch® 2 - Season 15: Honor and Glory,"Blizzard Entertainment, Inc.",4.16,223353 ratings,Free,,,,,10/4/2022,,"['PS5', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '10 online players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'In-game purchases optional', 'Online play required', '10 online players', 'PS5 VersionVibration function supported (DualSense wireless controller)']","['Blood, Mild Language, Use of Tobacco, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['68%', '10%', '5%', '2%', '14%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Turkish']",[]
Cyberpunk 2077,CD PROJEKT SA,4.46,141811 ratings,$24.99,$49.99,Save 50%,Save 50%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,2/15/2022,,"['PS4', 'PS5', 'PS5', 'PS4', 'PS4', 'PS5']","['1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol']","['77%', '10%', '3%', '2%', '8%']","['English, French (France), Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)', 'English, French (France), Polish, Portuguese (Brazil), Spanish']","['English, French (France), Polish, Portuguese (Brazil), Spanish', 'English, French (France), Portuguese (Brazil)']"
Fallout 76,Bethesda Softworks,3.6,57776 ratings,$39.99,,,Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalog,,11/14/2018,,"['PS4', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration']","['Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes, Use of AlcoholIn-Game Purchases, Users Interact']","['50%', '13%', '8%', '6%', '23%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
Zenless Zone Zero,COGNOSPHERE PTE. LTD.,4.37,41876 ratings,Free,,,,,7/4/2024,,"['PS5', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '4 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '4 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['74%', '9%', '5%', '2%', '9%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Russian, Spanish (Mexico), Thai, Vietnamese']",[]
Infinity Nikki,INFOLD PTE. LTD.,4.07,10771 ratings,Free,,,,,12/5/2024,,['PS5'],"['In-game purchases optional', 'Online play required', '1 online player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '1 online player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['66%', '9%', '7%', '3%', '16%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish (Mexico), Thai']",[]
Dead by Daylight PS4® & PS5®,Starbreeze Publishing AB,4.17,118122 ratings,$11.99,$29.99,Save 60%,Save 60%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,11/12/2020,,"['PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 5 online players with PS Plus', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 5 online players with PS Plus', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Blood and Gore, Game Experience May Change During Online Play, Intense Violence, Strong Language']","['66%', '13%', '6%', '2%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish', 'English, French (France), Portuguese (Brazil), Spanish, Swedish']","['English, French (France), Japanese']"
War Thunder,Gaijin Distribution KFT,4.14,368217 ratings,Free,,,PlayStation Plus Exclusive,,11/17/2020,,"['PS5', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS5', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '32 online players', 'Remote Play supported', 'PS5 VersionVibration function required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '32 online players', 'Remote Play supported', 'PS5 VersionVibration function required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['ViolenceIn-Game Purchases, Users Interact']","['61%', '15%', '11%', '3%', '11%']","['English, French (France), German, Italian, Spanish']",[]
VALORANT,RIOT GAMES,3.59,58906 ratings,Free,,,,,8/2/2024,,['PS5'],"['In-game purchases optional', 'Online play required', '10 online players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '10 online players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood, Language, ViolenceIn-Game Purchases, Users Interact']","['53%', '10%', '6%', '3%', '27%']","['Arabic, Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Vietnamese']",[]
ARK: Survival Ascended,WILDCARD PROPERTIES,3.72,21599 ratings,$22.49,$44.99,Save 50%,Save 50%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,11/30/2023,,['PS5'],"['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 70 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 70 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood, Crude Humor, Use of Alcohol, ViolenceIn-Game Purchases, Users Interact']","['56%', '11%', '6%', '5%', '23%']","['Chinese (Simplified), Danish, Dutch, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Turkish']",[]
Hogwarts Legacy PS5 Version,Warner Bros. Interactive,4.49,69623 ratings,$17.49,$69.99,Save 75%,Save 75%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,2/10/2023,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS5', 'PS4', 'PS4', 'PS5', 'PS4', 'PS5']","['In-game purchases optional', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood, Fantasy Violence, Mild Language, Use of AlcoholIn-Game Purchases']","['72%', '16%', '6%', '2%', '4%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), Japanese, Korean, Portuguese (Brazil), Spanish (Mexico)']",[]
ASTRO BOT,Sony Interactive Entertainment,4.85,47336 ratings,$59.99,,,,,9/6/2024,,"['PS5', 'Standard Edition']","['Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Crude Humor, Fantasy Violence']","['94%', '2%', '2%', '0%', '2%']","['Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish, Ukrainian, Vietnamese']",[]
"Warhammer 40,000: Space Marine 2 - Ultra Edition",Focus Entertainment,4.43,20761 ratings,$71.49,$109.99,Save 35%,Save 35%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/9/2024,,"['PS5', 'Ultra Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense ViolenceUsers Interact']","['76%', '10%', '4%', '3%', '8%']","['Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Ukrainian']",[]
Sea of Thieves,Microsoft Corporation,4.24,16329 ratings,$23.99,$39.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,4/30/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'PS5 VersionVibration function required', 'Trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'PS5 VersionVibration function required', 'Trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Crude Humor, Use of Alcohol, ViolenceIn-Game Purchases, Users Interact']","['71%', '10%', '3%', '2%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish']",[]
The First Descendant,NEXON,4,49300 ratings,Free,,,,,6/30/2024,,"['PS4', 'PS5', 'The First Descendant', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '4 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '4 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood, Strong Language, Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['58%', '15%', '10%', '4%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']",[]
Black Myth: Wukong,"Game Science Interactive Technology Co., Ltd.",4.5,180411 ratings,$59.99,,,Subscribe to PlayStation Plus Premium to play a 2-hour full game trial,,8/20/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Language, Partial Nudity, Violence']","['82%', '5%', '3%', '1%', '9%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Thai, Turkish']",[]
theHunter: Call of the Wild™,Avalanche Studios Group AB,4.38,28024 ratings,$8.99,$29.99,Save 70%,Save 70%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,10/2/2017,,['PS4'],"['PS Plus required for online play', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration']","['Blood, Game Experience May Change During Online Play, Violence']","['73%', '11%', '5%', '2%', '9%']","['Chinese (Simplified), English, French (France), Japanese, Spanish']",[]
